,Track Name,Artists,count,mean
,,,Popularity,Popularity
0,Unholy (feat. Kim Petras),Sam Smith;Kim Petras,2,100.0
1,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap;Quevedo,1,99.0
2,I'm Good (Blue),David Guetta;Bebe Rexha,3,98.0
3,La Bachata,Manuel Turizo,4,98.0
4,Me Porto Bonito,Bad Bunny;Chencho Corleone,4,97.0
5,Tit?? Me Pregunt??,Bad Bunny,4,97.0
6,I Ain't Worried,OneRepublic,3,96.0
7,Under The Influence,Chris Brown,2,96.0
8,Efecto,Bad Bunny,4,95.5
9,Ojitos Lindos,Bad Bunny;Bomba Est??reo,4,94.5
10,Moscow Mule,Bad Bunny,4,94.0
11,Glimpse of Us,Joji,1,94.0
12,As It Was,Harry Styles,2,93.5
13,Sweater Weather,The Neighbourhood,4,93.0
14,PROVENZA,KAROL G,2,93.0
15,Neverita,Bad Bunny,3,93.0
16,Another Love,Tom Odell,2,93.0
17,CUFF IT,Beyonc??,1,93.0
18,Calm Down (with Selena Gomez),Rema;Selena Gomez,1,92.0
19,Left and Right (Feat. Jung Kook of BTS),Charlie Puth;Jung Kook;BTS,2,92.0
20,Super Freaky Girl,Nicki Minaj,2,92.0
21,I Wanna Be Yours,Arctic Monkeys,3,92.0
22,LOKERA,Rauw Alejandro;Lyanno;Brray,2,91.0
23,Blinding Lights,The Weeknd,1,91.0
24,Jimmy Cooks (feat. 21 Savage),Drake;21 Savage,1,91.0
25,Tarot,Bad Bunny;Jhayco,4,91.0
26,Caile,Luar La L,2,91.0
